Variable	Variable Description 	OV M1	OV M2	OV M3	OV MR	NV M1	NV M2	NV M3	New Variable Description	Notes 	Recoded across all waves
Sample ID Variables											
Respondent ID 			M2ID								
	MIDUS 2 Family number		M2FAMNUM								
	Major sample identification		SAMPLMAJ								
	Completion status of M2 respondents		B1STATUS								
Demographics											
Sex	Respondent Sex(M/F)	A1PRSEX	B1PRSEX	C1PRSEX		aSex	bSex	cSex		Find if there are any discrepancies; use wave 1	
Age	Age 	A1PAGE_M2	B1PAGE_M2	B1PAGE_M2		aAge	bAge	cAge		Use bAge (age from MIDUS II)	
Race	Which best describes your race?	A1SS7	B1PF8_A	C1PF8A1		aRace	bRace	cRace			
Ethnicity	Ethnic group best describes background		B1PF3	C1PF3			bEthnicity	cEthnicity			
Marital Status	Marital status currently	A1PB17	B1PB19	C1PB19		aMaritalStatus	bMaritalStatus	cMaritalStatus			
	Racial origins #1		B1PF7A				(parents/grandparents race) 				
	Racial origins #2		B1PF7B								
	Racial origins #3		B1PF7C								
	Racial origins #4		B1PF7D								
	Racial background #2		B1PF8B								
	Ethnic group #1		B1PF2A								
	Ethnic group #2		B1PF2B								
	Ethnic group #3		B1PF2C								
Mental Health Outcomes											
	Mental/emotional health self evaluated		B1PA2				bSubjectiveMentalHealth				
	Anhedonia (continuous)		B1PANHED								
	Depressed Affect (continuous)		B1PDEPAF								
Depression 	Depressed Affect + Anhedon (continuous)	A1PDEPRE	B1PDEPRE	C1PDEPRE	RA1PDEPRE	aDepression	bDepression	cDepression			
Anxiety	Anxiety Disorder (continuous)	A1PANXIE	B1PANXIE	C1PANXIE	RA1PANXIE	aAnxiety	bAnxiety	cAnxiety			
	Panic Attack (continuous)		B1PPANIC				bPanicAttack				
CESD Depression Scale	CESD: Center for Epidemiologic Studies Depression Scale		B4QCESD		RA4QCESD		bCesDepression				
Perceived Stress	Perceived Stress Scale		B4QPS_PS		RA4QPS_PS		bPerceivedStress				
Religiosity/Sprituality											
Spirituality 	Spirituality (How spiritual are you? How important is spirituality in your life?)		B1SSPIRI	C1SSPIRI	RA1SSPIRI		bSpirituality	cSpirituality			
Religious Identification 	Religious Identification (How important is religion in your life? Etc)		B1SRELID	C1SRELID	RA1SRELID		bReligiousId	cReligiousId			
Freq. Private Religious Practices	"Private Religious Practices (frequency of praying, meditating, chanting, reading the bible in private)"		B1SRELPR	C1SRELPR	RA1SRELPR		bPrivReligPractice	CPrivReligPractice			
Religious Support	Level of support from religious community (help if you're sick? Do they criticize you?)		B1SRELSU	C1SRELSU	RA1SRELSU		bReligiousSupport	cReligiousSupport			
R/S Coping Practices	"Religious/Spiritual Coping A (When you are struggling or making a difficult decision, how often do you turn to your practices or beliefs?)"		B1SRELCA	C1SRELCA	RA1SRELCA		bRSCopingPractice	cRSCopingPractice			
R/S Coping Beliefs	Religious/Spiritual Coping B (Turning to connection with God/greater spiritual force to cope)		B1SRELCB	C1SRELCB	RA1SRELCB		bRSCopingBeliefs	cRSCopingBeliefs			
Mindfulness	"Mindfulness (I'm mindful/aware of my self and my environment, etc)"		B1SMNDFU	C1SMNDFU	RA1SMNDFU		bMindfulness	cMindfulness			
Daily Spiritual Experiences	"Daily Spiritual Experiences (feeling deep inner peace and harmony, appreciation for the beauty of life, etc.)"		B1SSPRTE	C1SSPRTE	RA1SSPRTE		bDailySpiritExp	cDailySpiritExp			
Psychosocial 											
Health Locus of Control-Self	Health Locus of control-Self (My health depends on things I can do)	A1SHLOCS	B1SHLOCS	C1SHLOCS	RA1SHLOCS	aHealthLOCSelf	bHealthLOCSelf	cHealthLOCSelf			
Health Locus of Control-Other	Health Locus of control-Others (When I am sick it is in the hands of the doctor; it is difficult for me to get good medical care)	A1SHLOCO	B1SHLOCO	C1SHLOCO	RA1SHLOCO	aHealthLOCOther	bHealthLOCOther	cHealthLOCOther			
Health Care Access and Utilization											
Health Insurance Currently (Y/N)	Covered by hlthcare insurance currently 		B1SC1	C1SC1	RA1SC1	aHasHealthInsurance	bHasHealthInsurance	cHasHealthInsurance			
Private Health Insurance	R: Insurer directly provides hlth insur	A1SC1A	B1SC3A	C1SC3A	RA1SC3A	aPrivateInsurance	bPrivateInsurance	cPrivateInsurance			
Employer Provided Health Insurance	R: Employer provides health insurance	A1SC1B	B1SC3B	C1SC3B	RA1SC3B	aEmployerInsurance	bEmployerInsurance	cEmployerInsurance			
Spouse Employer Provided Health Insurance	R: SP's employer provides hlth insurance	A1SC1C	B1SC3C	C1SC3C	RA1SC3C	aSpEmployerInsurace	bSpEmployerInsurance	cSpEmployerInsurance			
Union Provided Health Insurance	R: Union provides health insurance	A1SC1D	B1SC3D	C1SC3D	RA1SC3D	aUnionInsurance	bUnionInsurance	cUnionInsurance			
Spouse Union Provided Health Insurance	R: SP's union provides health insurance	A1SC1E	B1SC3E	C1SC3E	RA1SC3E	a	bSpUnionInsurance				
Medicare	R: Medicare provides health insurance	A1SC1F	B1SC3F	C1SC3F	RA1SC3F		bMedicareInsurance				
Medicaid	R: Medicaid/oth provides hlth insurance	A1SC1G	B1SC3G	C1SC3G	RA1SC3G		bMedicaidInsurance				
Military Provides Health Insurance	R: Military provides health insurance	A1SC1H	B1SC3H	C1SC3H	RA1SC3H		bMilitaryInsurance				
Unmet Medical Care Needs	"Needed med care, couldn't get it (12 mo)"		B1SA52	C1SA48	RA1SA48		bUnmetMedCareNeeds				
# Times saw Medical Doctor 	Number Times Seeing Medical Doctor (12 mo) (Sum of above)	A1SUSEMD	B1SUSEMD	C1SUSEMD	RA1SUSEMD		bMDVisitsLastYear				
Psychiatrist	# times psychiatrist for ment hlth (12mo)	A1SA37A	B1SA54A	C1SA50A	RA1SA50A		bPsychVisitsLastYear				
Gen Doc for Mental Health	# time genrl doctor for mentl hlth(12mo)	A1SA37B	B1SA54B	C1SA50B	RA1SA50B		bMHGenVisitsLastYear				
