="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",="-.0250835",=".0224214",=".2632548",="-.0690286",=".0188616"
="_nl_2",="-.0151991",=".0990106",=".8779965",="-.2092564",=".1788582"
="_nl_3",=".008298",=".0183297",=".6507571",="-.0276274",=".0442235"
="_nl_4",="-.0466807",=".0633214",=".4609989",="-.1707884",=".0774269"
="_nl_5",="-.0224588",=".0188363",=".2331384",="-.0593772",=".0144597"
="_nl_6",=".1373721",=".0761885",=".0713796",="-.0119547",=".2866989"
="_nl_7",=".052379",=".0443425",=".2375086",="-.0345307",=".1392887"
="_nl_8",="-.0309132",=".0606457",=".6102377",="-.1497766",=".0879502"
="N",="2055",="",="",="",=""
