="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",=".0463922",=".0369199",=".2089118",="-.0259695",=".118754"
="_nl_2",=".028168",=".1030026",=".7844932",="-.1737135",=".2300494"
="_nl_3",="-.0017434",=".0083472",=".8345582",="-.0181036",=".0146168"
="_nl_4",="-.0143701",=".0686197",=".8341226",="-.1488622",=".1201219"
="_nl_5",=".0540435",=".0328127",=".0995523",="-.0102683",=".1183553"
="_nl_6",=".2023782",=".080943",=".0124103",=".0437329",=".3610235"
="_nl_7",="-.0110046",=".047666",=".8174164",="-.1044283",=".0824191"
="_nl_8",="-.0743566",=".0662535",=".2617329",="-.2042111",=".0554979"
="N",="2055",="",="",="",=""
