="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",="-.003564",=".0095533",=".7090969",="-.0222882",=".0151601"
="_nl_2",=".0022793",=".0971824",=".9812884",="-.1881947",=".1927532"
="_nl_3",="-.0035156",=".0079449",=".65813",="-.0190874",=".0120562"
="_nl_4",=".1677549",=".0307956",="5.11e-08",=".1073965",=".2281132"
="_nl_5",="-.0059722",=".0159361",=".7078381",="-.0372064",=".025262"
="_nl_6",=".1519532",=".0746701",=".0418516",=".0056024",=".298304"
="_nl_7",="-.0221912",=".0215671",=".303508",="-.0644619",=".0200795"
="_nl_8",=".047121",=".0297066",=".1126913",="-.0111029",=".1053449"
="N",="2055",="",="",="",=""
