="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",=".002065",=".0019126",=".2802846",="-.0016836",=".0058135"
="_nl_2",=".0177206",=".0688068",=".796761",="-.1171383",=".1525795"
="_nl_3",=".0001351",=".0044888",=".9759907",="-.0086627",=".0089329"
="_nl_4",="-.0604009",=".0150104",=".0000572",="-.0898207",="-.0309811"
="_nl_5",=".0013626",=".0012809",=".2874458",="-.001148",=".0038731"
="_nl_6",=".0406314",=".0514094",=".4293241",="-.0601292",=".141392"
="_nl_7",=".003317",=".0035611",=".3516259",="-.0036627",=".0102967"
="_nl_8",="-.0289106",=".0120775",=".016677",="-.0525821",="-.0052391"
="N",="2055",="",="",="",=""
