="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",="-.0111259",=".0141625",=".4321079",="-.0388838",=".016632"
="_nl_2",=".0140722",=".0695072",=".8395593",="-.1221594",=".1503039"
="_nl_3",=".0003533",=".0117413",=".9759928",="-.0226592",=".0233658"
="_nl_4",="-.0537396",=".0616426",=".3833209",="-.1745568",=".0670776"
="_nl_5",="-.0099617",=".0123008",=".4180341",="-.0340708",=".0141475"
="_nl_6",=".0354545",=".0521309",=".4964379",="-.0667202",=".1376291"
="_nl_7",=".0086755",=".0100695",=".3889244",="-.0110602",=".0284113"
="_nl_8",="-.0713742",=".0466254",=".1258191",="-.1627584",=".02001"
="N",="2055",="",="",="",=""
