="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",=".0026223",=".00287",=".3608636",="-.0030027",=".0082474"
="_nl_2",=".0222971",=".0686521",=".7453449",="-.1122586",=".1568528"
="_nl_3",=".0006025",=".0200174",=".9759897",="-.0386309",=".0398358"
="_nl_4",="-.067638",=".0486798",=".1646966",="-.1630486",=".0277726"
="_nl_5",=".001461",=".0019677",=".457796",="-.0023957",=".0053177"
="_nl_6",=".0410367",=".05142",=".4248311",="-.0597447",=".1418181"
="_nl_7",=".0147926",=".0152751",=".3328408",="-.0151462",=".0447313"
="_nl_8",=".0187795",=".0384975",=".6256835",="-.0566742",=".0942332"
="N",="2055",="",="",="",=""
