="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",="-.0134944",=".014541",=".3533952",="-.0419942",=".0150054"
="_nl_2",="-.0748675",=".0680055",=".2709387",="-.2081559",=".0584209"
="_nl_3",="-.0027175",=".0066536",=".6829585",="-.0157584",=".0103234"
="_nl_4",="-.056372",=".0607824",=".3536983",="-.1755032",=".0627593"
="_nl_5",="-.0120823",=".0124721",=".3326698",="-.0365271",=".0123625"
="_nl_6",=".2162006",=".0528645",=".0000432",=".112588",=".3198132"
="_nl_7",=".0326204",=".0347059",=".3472643",="-.035402",=".1006428"
="_nl_8",="-.0516472",=".0534273",=".3337028",="-.1563627",=".0530683"
="N",="2055",="",="",="",=""
