="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",="-.0418286",=".0297199",=".1593009",="-.1000787",=".0164214"
="_nl_2",="-.0996784",=".0723623",=".1683605",="-.2415059",=".0421491"
="_nl_3",="-.0058449",=".0134077",=".6628814",="-.0321235",=".0204336"
="_nl_4",="-.1362252",=".0750273",=".0694201",="-.283276",=".0108256"
="_nl_5",="-.0009392",=".0158592",=".9527761",="-.0320227",=".0301443"
="_nl_6",=".2257207",=".0544245",=".0000336",=".1190507",=".3323907"
="_nl_7",=".0701603",=".0443319",=".1135095",="-.0167287",=".1570493"
="_nl_8",="-.045281",=".0672728",=".5008866",="-.1771333",=".0865713"
="N",="2055",="",="",="",=""
