="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",="-.0003929",=".0069361",=".9548276",="-.0139874",=".0132016"
="_nl_2",="-.0660641",=".0673887",=".3269162",="-.1981434",=".0660153"
="_nl_3",="-.0021705",=".0068515",=".7514012",="-.0155993",=".0112582"
="_nl_4",=".1552553",=".106629",=".1453834",="-.0537336",=".3642443"
="_nl_5",=".0082115",=".0269542",=".760635",="-.0446177",=".0610407"
="_nl_6",=".2329915",=".0587882",=".0000739",=".1177688",=".3482142"
="_nl_7",=".0260541",=".0588479",=".6579572",="-.0892858",=".1413939"
="_nl_8",="-.1888722",=".0920044",=".0400862",="-.3691975",="-.0085468"
="N",="2055",="",="",="",=""
