="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",="-.021329",=".0276257",=".4400713",="-.0754743",=".0328163"
="_nl_2",="-.0836968",=".0714042",=".2411345",="-.2236464",=".0562528"
="_nl_3",=".0037094",=".0091679",=".6857678",="-.0142594",=".0216782"
="_nl_4",="-.0054378",=".0848404",=".9488947",="-.1717219",=".1608463"
="_nl_5",="-.0046659",=".0110966",=".6741373",="-.0264149",=".0170831"
="_nl_6",=".2205073",=".053083",=".0000327",=".1164665",=".3245481"
="_nl_7",="-.0445263",=".0496983",=".3702894",="-.1419333",=".0528807"
="_nl_8",="-.1917021",=".0766299",=".0123612",="-.341894",="-.0415102"
="N",="2055",="",="",="",=""
