="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",="-.0071198",=".0068856",=".3011316",="-.0206154",=".0063758"
="_nl_2",="-.0667084",=".0669667",=".3191813",="-.1979607",=".064544"
="_nl_3",=".0011715",=".0029405",=".6903358",="-.0045918",=".0069348"
="_nl_4",=".1717719",=".0298559",="8.75e-09",=".1132554",=".2302885"
="_nl_5",="-.0119306",=".0111318",=".2838273",="-.0337485",=".0098873"
="_nl_6",=".2233112",=".0520245",=".0000177",=".121345",=".3252775"
="_nl_7",="-.0140623",=".0168607",=".4042633",="-.0471086",=".018984"
="_nl_8",=".0557668",=".0262017",=".0333069",=".0044124",=".1071213"
="N",="2055",="",="",="",=""
