="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",="-.0169796",=".0145841",=".2443208",="-.0455639",=".0116047"
="_nl_2",="-.0480772",=".0613394",=".4331639",="-.1683003",=".0721459"
="_nl_3",=".0273527",=".0193868",=".1582772",="-.0106448",=".0653501"
="_nl_4",="-.0349172",=".0633966",=".581788",="-.1591722",=".0893377"
="_nl_5",="-.0152028",=".0121828",=".212071",="-.0390808",=".0086751"
="_nl_6",=".1335341",=".0464744",=".0040623",=".042446",=".2246221"
="_nl_7",=".0521369",=".0219793",=".0176879",=".0090582",=".0952155"
="_nl_8",="-.0388089",=".0492256",=".4304697",="-.1352893",=".0576715"
="N",="2055",="",="",="",=""
