="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",="-.0306452",=".0244375",=".2098339",="-.0785419",=".0172515"
="_nl_2",="-.0604171",=".0638822",=".3442718",="-.1856239",=".0647897"
="_nl_3",=".0161269",=".0154148",=".2954688",="-.0140855",=".0463394"
="_nl_4",="-.1200263",=".0753624",=".1112378",="-.2677339",=".0276813"
="_nl_5",="-.0006881",=".0116217",=".952787",="-.0234662",=".02209"
="_nl_6",=".1444948",=".0468892",=".0020587",=".0525937",=".2363959"
="_nl_7",=".0307396",=".0235913",=".1925742",="-.0154986",=".0769778"
="_nl_8",="-.0781376",=".0599247",=".1922579",="-.1955878",=".0393127"
="N",="2055",="",="",="",=""
