="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",=".0072733",=".1262488",=".9540585",="-.2401698",=".2547164"
="_nl_2",="-.0222133",=".1400363",=".8739639",="-.2966794",=".2522528"
="_nl_3",=".0327546",=".0261568",=".2104823",="-.0185118",=".084021"
="_nl_4",=".1827204",=".1089829",=".0936214",="-.0308822",=".396323"
="_nl_5",="-.152011",=".0980427",=".1210317",="-.3441712",=".0401491"
="_nl_6",=".0077448",=".107578",=".9426081",="-.2031042",=".2185937"
="_nl_7",=".0624335",=".0349335",=".073903",="-.0060348",=".1309019"
="_nl_8",="-.1628532",=".0834968",=".0511269",="-.3265039",=".0007975"
="N",="2055",="",="",="",=""
