="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",="-.0091497",=".012917",=".4787322",="-.0344665",=".0161672"
="_nl_2",="-.0416983",=".0607586",=".4925276",="-.160783",=".0773864"
="_nl_3",=".0039215",=".0108299",=".7172807",="-.0173048",=".0251477"
="_nl_4",="-.0096212",=".0685142",=".8883234",="-.1439066",=".1246643"
="_nl_5",="-.0106587",=".0140125",=".4468642",="-.0381227",=".0168054"
="_nl_6",=".136144",=".0467555",=".0035932",=".0445049",=".2277831"
="_nl_7",=".0074747",=".0201988",=".7113402",="-.0321142",=".0470636"
="_nl_8",="-.0588896",=".052514",=".2621142",="-.1618151",=".0440359"
="N",="2055",="",="",="",=""
