="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",="-.012196",=".0068622",=".0755232",="-.0256457",=".0012537"
="_nl_2",="-.0369786",=".0600687",=".538155",="-.154711",=".0807538"
="_nl_3",="-.0113418",=".0083989",=".176895",="-.0278034",=".0051199"
="_nl_4",=".1635722",=".0307276",="1.02e-07",=".1033471",=".2237972"
="_nl_5",="-.0204368",=".0102563",=".0463038",="-.0405388",="-.0003349"
="_nl_6",=".1416714",=".045499",=".0018474",=".0524951",=".2308477"
="_nl_7",="-.0216185",=".0102261",=".0345106",="-.0416613",="-.0015757"
="_nl_8",=".0514959",=".0239546",=".0315763",=".0045458",=".098446"
="N",="2055",="",="",="",=""
