="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",="-.0077351",=".0056618",=".1718781",="-.018832",=".0033618"
="_nl_2",="-.0312561",=".0204717",=".1268105",="-.0713799",=".0088676"
="_nl_3",=".0014876",=".0013261",=".2619463",="-.0011115",=".0040866"
="_nl_4",="-.0512061",=".0605894",=".3980363",="-.1699592",=".0675469"
="_nl_5",="-.0068526",=".004586",=".13511",="-.015841",=".0021357"
="_nl_6",=".0520742",=".0161875",=".0012957",=".0203473",=".0838011"
="_nl_7",=".0080436",=".0036266",=".0265583",=".0009356",=".0151517"
="_nl_8",="-.0908604",=".0460636",=".0485525",="-.1811433",="-.0005775"
="N",="2055",="",="",="",=""
