="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",="-.0007003",=".0161618",=".9654396",="-.0323768",=".0309762"
="_nl_2",="-.0260319",=".0254911",=".3071534",="-.0759935",=".0239298"
="_nl_3",=".0009901",=".0014159",=".4843791",="-.001785",=".0037651"
="_nl_4",=".1830735",=".1054277",=".0824783",="-.023561",=".389708"
="_nl_5",="-.0167003",=".0136607",=".2215151",="-.0434747",=".0100741"
="_nl_6",=".0423888",=".0206797",=".0403859",=".0018574",=".0829202"
="_nl_7",=".0052612",=".0064843",=".4171471",="-.0074478",=".0179702"
="_nl_8",="-.2177371",=".0773361",=".0048707",="-.369313",="-.0661612"
="N",="2116",="",="",="",=""
