="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",=".0077759",=".0064999",=".2315755",="-.0049637",=".0205155"
="_nl_2",="-.0208076",=".0206825",=".314392",="-.0613447",=".0197294"
="_nl_3",="-.0000818",=".0007094",=".9081599",="-.0014723",=".0013086"
="_nl_4",="-.0126716",=".0680846",=".8523539",="-.1461151",=".1207718"
="_nl_5",=".0090583",=".0059678",=".1290464",="-.0026383",=".020755"
="_nl_6",=".064706",=".0165996",=".000097",=".0321714",=".0972406"
="_nl_7",="-.0004425",=".0038209",=".907798",="-.0079314",=".0070464"
="_nl_8",="-.063952",=".0504939",=".2053234",="-.1629182",=".0350142"
="N",="2055",="",="",="",=""
