="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",="-.0116567",=".0100139",=".244403",="-.0312837",=".0079702"
="_nl_2",="-.0355209",=".021887",=".104606",="-.0784185",=".0073768"
="_nl_3",="-.0004409",=".0010224",=".6662677",="-.0024447",=".0015629"
="_nl_4",="-.0039118",=".0844612",=".9630596",="-.1694527",=".1616292"
="_nl_5",="-.003056",=".0057898",=".5976245",="-.0144038",=".0082919"
="_nl_6",=".0539512",=".0167192",=".0012514",=".0211822",=".0867201"
="_nl_7",="-.0023842",=".0052153",=".6475637",="-.0126059",=".0078376"
="_nl_8",="-.166256",=".0658168",=".0115355",="-.2952545",="-.0372575"
="N",="2055",="",="",="",=""
