="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",="-.0024868",=".0020306",=".2206941",="-.0064667",=".001493"
="_nl_2",="-.0226504",=".0195405",=".2463949",="-.060949",=".0156483"
="_nl_3",="-.0005367",=".0005121",=".2946472",="-.0015405",=".0004671"
="_nl_4",=".1639719",=".0291056",="1.76e-08",=".106926",=".2210177"
="_nl_5",="-.004191",=".0032493",=".1971149",="-.0105596",=".0021775"
="_nl_6",=".0595282",=".0154668",=".0001187",=".0292138",=".0898425"
="_nl_7",="-.0028716",=".001817",=".1140236",="-.0064329",=".0006898"
="_nl_8",=".0760175",=".0221884",=".0006125",=".032529",=".1195061"
="N",="2130",="",="",="",=""
