,Factor 1,Factor 2,Factor 3,Factor 4 ,Communality,,
Factor 1 (Mind Body Practices),,,,,,,
Prayer or Spiritual Healing,0.52,-0.03,0.3,-0.22,0.4,,
Energy Healing,0.52,0.26,0.1,0.14,0.77,,
Imagery Techniques,0.93,-0.07,0.07,-0.05,0.83,,
Relaxation and Meditation Techniques,0.95,-0.1,0.07,-0.03,0.84,,
Hypnosis,0.68,0.2,-0.37,0.04,0.43,,
Factor 2 (Alternative Medical Systems),,,,,,,
Homeopathy,-0.04,0.66,0.32,0.07,0.79,,
Herbal Therapy,0.06,0.7,0.23,0.04,0.82,,
Acupuncture,0.21,0.67,-0.27,0.15,0.59,,
Factor 3 (Physical and Nutritional Approaches),,,,,,,
Vitamins,-0.01,0.4,0.56,-0.18,0.57,,
Exercise and Movement,0.06,-0.21,0.64,0.35,0.63,,
Special Diet,0.1,0.09,0.52,-0.08,0.36,,
Factor 4 (Manipulative Treatments),,,,,,,
Massage,0.06,0,0.13,0.79,0.82,,
Chiropractic,-0.17,0.25,-0.05,0.56,0.36,,
