,Wave 1,Wave 2,Wave 3
Factor 1 (Mind Body Practices),,,
Prayer or Spiritual Healing,0.61,0.75,0.72
Energy Healing,0.55,0.88,0.92
Imagery Techniques,0.89,0.77,0.78
Relaxation and Meditation Techniques,0.89,0.89,0.89
Hypnosis,0.55,0.68,0.73
Factor 2 (Alternative Medical Systems),,,
Homeopathy,0.89,0.91,0.91
Herbal Therapy,0.9,0.91,0.88
Acupuncture,0.67,0.57,0.64
Factor 3 (Physical and Nutritional Approaches),,,
Vitamins,0.71,0.74,0.75
Exercise and Movement,0.71,0.68,0.71
Special Diet,0.6,0.42,0.53
Factor 4 (Manipulative Treatments),,,
Massage,1,0.94,0.89
Chiropractic,0.51,0.52,0.53
