="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",="-.0025361",=".0024795",=".3063863",="-.0073958",=".0023236"
="_nl_2",=".0107166",=".0974289",=".9124141",="-.1802405",=".2016737"
="_nl_3",=".0047439",=".009886",=".6313305",="-.0146324",=".0241202"
="_nl_4",="-.0554766",=".0174535",=".0014802",="-.0896848",="-.0212684"
="_nl_5",="-.0016734",=".0016581",=".3128538",="-.0049233",=".0015764"
="_nl_6",=".155014",=".0745389",=".0375586",=".0089205",=".3011075"
="_nl_7",=".0299443",=".0127138",=".0185097",=".0050257",=".0548629"
="_nl_8",="-.0050545",=".0163931",=".7578309",="-.0371844",=".0270754"
="N",="2055",="",="",="",=""
