="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",="-.0230073",=".0307476",=".4543021",="-.0832715",=".0372569"
="_nl_2",="-.0171385",=".1007947",=".8649839",="-.2146924",=".1804155"
="_nl_3",=".0087659",=".0197205",=".6566765",="-.0298855",=".0474173"
="_nl_4",="-.1256195",=".0765043",=".1005918",="-.2755652",=".0243263"
="_nl_5",="-.0005166",=".0087427",=".9528818",="-.017652",=".0166188"
="_nl_6",=".1538341",=".0750467",=".0403794",=".0067454",=".3009229"
="_nl_7",=".0553321",=".0524476",=".2914271",="-.0474634",=".1581276"
="_nl_8",="-.0517265",=".0737668",=".4831679",="-.1963068",=".0928538"
="N",="2055",="",="",="",=""
