="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",=".0028547",=".0495837",=".9540877",="-.0943276",=".1000371"
="_nl_2",=".0066458",=".1092165",=".951479",="-.2074146",=".2207062"
="_nl_3",="-.0069706",=".0192436",=".7171797",="-.0446874",=".0307462"
="_nl_4",=".1510332",=".1081234",=".1624557",="-.0608847",=".3629511"
="_nl_5",="-.0596637",=".0533694",=".2635932",="-.1642659",=".0449384"
="_nl_6",=".0935649",=".0918333",=".3082716",="-.0864251",=".2735549"
="_nl_7",="-.0440001",=".0818293",=".5907802",="-.2043825",=".1163824"
="_nl_8",="-.2497066",=".108087",=".020875",="-.4615532",="-.0378601"
="N",="2055",="",="",="",=""
