="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",=".0120318",=".0226316",=".5949791",="-.0323254",=".056389"
="_nl_2",=".0330168",=".0714408",=".6439692",="-.1070046",=".1730383"
="_nl_3",=".0006627",=".0220188",=".9759906",="-.0424933",=".0438187"
="_nl_4",="-.1287547",=".0771433",=".0951109",="-.2799529",=".0224434"
="_nl_5",=".0002702",=".004586",=".953025",="-.0087183",=".0092586"
="_nl_6",=".042276",=".0515918",=".4125398",="-.058842",=".143394"
="_nl_7",=".016271",=".0174103",=".3500167",="-.0178527",=".0503946"
="_nl_8",="-.0916728",=".0595921",=".1239661",="-.2084713",=".0251256"
="N",="2055",="",="",="",=""
