="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",=".0060465",=".0069646",=".3852993",="-.0076039",=".0196969"
="_nl_2",=".0239894",=".0686744",=".7268485",="-.11061",=".1585888"
="_nl_3",="-.0001487",=".0049432",=".9759941",="-.0098373",=".0095398"
="_nl_4",=".1704927",=".0301531",="1.57e-08",=".1113938",=".2295916"
="_nl_5",=".0101321",=".0113823",=".3733802",="-.0121769",=".032441"
="_nl_6",=".0438401",=".0514781",=".3944213",="-.0570551",=".1447353"
="_nl_7",="-.0036523",=".0044257",=".4092327",="-.0123266",=".005022"
="_nl_8",=".0641431",=".0229002",=".0050948",=".0192595",=".1090267"
="N",="2055",="",="",="",=""
