="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",="-.002922",=".0019254",=".1291153",="-.0066957",=".0008517"
="_nl_2",="-.0558834",=".0672111",=".405713",="-.1876148",=".0758479"
="_nl_3",="-.0011635",=".0026735",=".6634061",="-.0064034",=".0040764"
="_nl_4",="-.0615969",=".0145584",=".0000233",="-.090131",="-.0330629"
="_nl_5",="-.0019281",=".0013078",=".1404098",="-.0044914",=".0006352"
="_nl_6",=".2279448",=".0520507",=".0000119",=".1259274",=".3299622"
="_nl_7",=".0139666",=".0090164",=".121375",="-.0037052",=".0316384"
="_nl_8",="-.0205086",=".0135129",=".1290874",="-.0469933",=".0059761"
="N",="2055",="",="",="",=""
