="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",="-.0065207",=".0022794",=".0042269",="-.0109882",="-.0020532"
="_nl_2",="-.0186005",=".0603778",=".7580303",="-.1369389",=".0997379"
="_nl_3",=".0151649",=".0096791",=".1171665",="-.0038057",=".0341356"
="_nl_4",="-.0468754",=".0172755",=".0066598",="-.0807348",="-.0130159"
="_nl_5",="-.0043027",=".0016558",=".0093619",="-.007548",="-.0010574"
="_nl_6",=".1536951",=".0456369",=".0007578",=".0642484",=".2431419"
="_nl_7",=".0289059",=".0083141",=".0005075",=".0126107",=".0452011"
="_nl_8",="-.0113958",=".0138568",=".410851",="-.0385547",=".0157631"
="N",="2055",="",="",="",=""
