="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="b",="se",="p",="min95",="max95"
="_nl_1",="-.0075655",=".0056",=".176702",="-.0185414",=".0034103"
="_nl_2",="-.0310866",=".0204591",=".1286495",="-.0711856",=".0090125"
="_nl_3",=".0015043",=".0013278",=".2572609",="-.0010982",=".0041068"
="_nl_4",="-.0521654",=".0605816",=".3891955",="-.1709031",=".0665723"
="_nl_5",="-.0067739",=".0045558",=".1370479",="-.015703",=".0021553"
="_nl_6",=".0521529",=".0161811",=".0012682",=".0204385",=".0838673"
="_nl_7",=".0081339",=".003525",=".0210255",=".0012251",=".0150428"
="_nl_8",="-.0871417",=".0459276",=".0577791",="-.1771582",=".0028748"
="N",="2055",="",="",="",=""
